Questions,Answers,Intent
"त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा चालूपुँजी कर्जा लिनै पाइदैन ?","त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा पुराना ऋणीहरुको लागि सीमा बृद्धि गर्न रोक लगाइएको हो । सो महिनाहरुमा कर्जा नवीकरण गर्न तथा स्वीकृत सीमा भित्रको कर्जा प्रवाह गर्न भने रोक लगाइएको छैन तर आवश्यक परेको खण्डमा सो महिनामा कर्जा सीमा स्वीकृत/बृद्धि गरी आगामी महिनामा कर्जा प्रवाह गर्न भने सकिन्छ । नयाँ ऋणीको लागि उक्त प्रतिबन्ध लागु हुँदैन । View More",बैंक तथा वित्तीय संस्था नियमन
"त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा चालूपुँजी ऋण लिनै पाइदैन ?","त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा पुराना ऋणीहरुको लागि सीमा बृद्धि गर्न रोक लगाइएको हो । सो महिनाहरुमा कर्जा नवीकरण गर्न तथा स्वीकृत सीमा भित्रको कर्जा प्रवाह गर्न भने रोक लगाइएको छैन तर आवश्यक परेको खण्डमा सो महिनामा कर्जा सीमा स्वीकृत/बृद्धि गरी आगामी महिनामा कर्जा प्रवाह गर्न भने सकिन्छ । नयाँ ऋणीको लागि उक्त प्रतिबन्ध लागु हुँदैन । View More",बैंक तथा वित्तीय संस्था नियमन
"कसरी त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा चालूपुँजी कर्जा लिनै पाइदैन ?","त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा पुराना ऋणीहरुको लागि सीमा बृद्धि गर्न रोक लगाइएको हो । सो महिनाहरुमा कर्जा नवीकरण गर्न तथा स्वीकृत सीमा भित्रको कर्जा प्रवाह गर्न भने रोक लगाइएको छैन तर आवश्यक परेको खण्डमा सो महिनामा कर्जा सीमा स्वीकृत/बृद्धि गरी आगामी महिनामा कर्जा प्रवाह गर्न भने सकिन्छ । नयाँ ऋणीको लागि उक्त प्रतिबन्ध लागु हुँदैन । View More",बैंक तथा वित्तीय संस्था नियमन
"त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा चालूपुँजी कर्जा लिनै पाइदैन  बारे बताउनुहोस् ?","त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा पुराना ऋणीहरुको लागि सीमा बृद्धि गर्न रोक लगाइएको हो । सो महिनाहरुमा कर्जा नवीकरण गर्न तथा स्वीकृत सीमा भित्रको कर्जा प्रवाह गर्न भने रोक लगाइएको छैन तर आवश्यक परेको खण्डमा सो महिनामा कर्जा सीमा स्वीकृत/बृद्धि गरी आगामी महिनामा कर्जा प्रवाह गर्न भने सकिन्छ । नयाँ ऋणीको लागि उक्त प्रतिबन्ध लागु हुँदैन । View More",बैंक तथा वित्तीय संस्था नियमन
"त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा चालूपुँजी लोन लिनै पाइदैन ?","त्रयमासको अन्तिम महिना (असोज, पुस, चैत्र, असार) मा पुराना ऋणीहरुको लागि सीमा बृद्धि गर्न रोक लगाइएको हो । सो महिनाहरुमा कर्जा नवीकरण गर्न तथा स्वीकृत सीमा भित्रको कर्जा प्रवाह गर्न भने रोक लगाइएको छैन तर आवश्यक परेको खण्डमा सो महिनामा कर्जा सीमा स्वीकृत/बृद्धि गरी आगामी महिनामा कर्जा प्रवाह गर्न भने सकिन्छ । नयाँ ऋणीको लागि उक्त प्रतिबन्ध लागु हुँदैन । View More",बैंक तथा वित्तीय संस्था नियमन
"चालू पुँजी कर्जासम्बन्धी मार्गदर्शन, २०७९ लागु भएको मिति २०७९/०७/०१ पूर्व प्रवाह भएका चालू पुँजी कर्जाहरुले उक्त मार्गदर्शन बमोजिमको व्यवस्थाहरु पुरा नगरेमा के हुन्छ ?",मार्गदर्शन लागु हुनुपूर्व प्रवाह भएका कर्जाहरुको हकमा त्यस्तो कर्जा पुनरावलोकन गर्दा वा नवीकरण गर्दा अनिवार्य रुपमा मार्गदर्शन अनुसार हुने गरी आवश्यक समायोजन गर्नुपर्छ । यसरी समायोजन गर्दा उल्लेखित सीमाभन्दा बढी प्रवाह भएको कर्जालाई २०८२ असार मसान्तभित्र क्रमिक रुपमा चुक्ता गर्दै जानुपर्छ । View More,बैंक तथा वित्तीय संस्था नियमन
"वर्किंग क्यापिटल ऋणसम्बन्धी मार्गदर्शन, २०७९ लागु भएको मिति २०७९/०७/०१ पूर्व प्रवाह भएका चालू पुँजी कर्जाहरुले उक्त मार्गदर्शन बमोजिमको व्यवस्थाहरु पुरा नगरेमा के हुन्छ ?",मार्गदर्शन लागु हुनुपूर्व प्रवाह भएका कर्जाहरुको हकमा त्यस्तो कर्जा पुनरावलोकन गर्दा वा नवीकरण गर्दा अनिवार्य रुपमा मार्गदर्शन अनुसार हुने गरी आवश्यक समायोजन गर्नुपर्छ । यसरी समायोजन गर्दा उल्लेखित सीमाभन्दा बढी प्रवाह भएको कर्जालाई २०८२ असार मसान्तभित्र क्रमिक रुपमा चुक्ता गर्दै जानुपर्छ । View More,बैंक तथा वित्तीय संस्था नियमन
"वर्किंग क्यापिटल वित्तीय सहायतासम्बन्धी मार्गदर्शन, २०७९ लागु भएको मिति २०७९/०७/०१ पूर्व प्रवाह भएका चालू पुँजी कर्जाहरुले उक्त मार्गदर्शन बमोजिमको व्यवस्थाहरु पुरा नगरेमा के हुन्छ भन्ने बारेमा के छ ?",मार्गदर्शन लागु हुनुपूर्व प्रवाह भएका कर्जाहरुको हकमा त्यस्तो कर्जा पुनरावलोकन गर्दा वा नवीकरण गर्दा अनिवार्य रुपमा मार्गदर्शन अनुसार हुने गरी आवश्यक समायोजन गर्नुपर्छ । यसरी समायोजन गर्दा उल्लेखित सीमाभन्दा बढी प्रवाह भएको कर्जालाई २०८२ असार मसान्तभित्र क्रमिक रुपमा चुक्ता गर्दै जानुपर्छ । View More,बैंक तथा वित्तीय संस्था नियमन
"वर्किंग क्यापिटल ऋणसम्बन्धी मार्गदर्शन, २०७९ लागु भएको मिति २०७९/०७/०१ पूर्व प्रवाह भएका चालू पुँजी कर्जाहरुले उक्त मार्गदर्शन बमोजिमको व्यवस्थाहरु पुरा नगरेमा के हुन्छ  सम्बन्धमा प्रकाश पार्नुहोस् ?",मार्गदर्शन लागु हुनुपूर्व प्रवाह भएका कर्जाहरुको हकमा त्यस्तो कर्जा पुनरावलोकन गर्दा वा नवीकरण गर्दा अनिवार्य रुपमा मार्गदर्शन अनुसार हुने गरी आवश्यक समायोजन गर्नुपर्छ । यसरी समायोजन गर्दा उल्लेखित सीमाभन्दा बढी प्रवाह भएको कर्जालाई २०८२ असार मसान्तभित्र क्रमिक रुपमा चुक्ता गर्दै जानुपर्छ । View More,बैंक तथा वित्तीय संस्था नियमन
"व्यापारिक पुँजी लोनसम्बन्धी मार्गदर्शन, २०७९ लागु भएको मिति २०७९/०७/०१ पूर्व प्रवाह भएका चालू पुँजी कर्जाहरुले उक्त मार्गदर्शन बमोजिमको व्यवस्थाहरु पुरा नगरेमा कुन कुरा हुन्छ ?",मार्गदर्शन लागु हुनुपूर्व प्रवाह भएका कर्जाहरुको हकमा त्यस्तो कर्जा पुनरावलोकन गर्दा वा नवीकरण गर्दा अनिवार्य रुपमा मार्गदर्शन अनुसार हुने गरी आवश्यक समायोजन गर्नुपर्छ । यसरी समायोजन गर्दा उल्लेखित सीमाभन्दा बढी प्रवाह भएको कर्जालाई २०८२ असार मसान्तभित्र क्रमिक रुपमा चुक्ता गर्दै जानुपर्छ । View More,बैंक तथा वित्तीय संस्था नियमन
